rank,feature,coefficient,abs_coefficient,sign
1,cat__Neighborhood_Crawfor,0.15025476763707388,0.15025476763707388,positive
2,num__GrLivArea,0.12117538370592201,0.12117538370592201,positive
3,cat__Neighborhood_StoneBr,0.09070253848755697,0.09070253848755697,positive
4,cat__MasVnrType_BrkCmn,-0.08927940320167278,0.08927940320167278,negative
5,cat__Neighborhood_MeadowV,-0.08383363842314681,0.08383363842314681,negative
6,cat__RoofMatl_Tar&Grv,-0.07716546583708753,0.07716546583708753,negative
7,num__YearBuilt,0.07070357309612074,0.07070357309612074,positive
8,cat__Exterior1st_BrkFace,0.07002092161317919,0.07002092161317919,positive
9,num__OverallQual,0.06935287003459771,0.06935287003459771,positive
10,cat__Neighborhood_Somerst,0.055264725795502574,0.055264725795502574,positive
11,cat__Neighborhood_BrkSide,0.05432580528337195,0.05432580528337195,positive
12,cat__Neighborhood_NridgHt,0.05370601168028685,0.05370601168028685,positive
13,cat__Functional_Typ,0.053216260068508194,0.053216260068508194,positive
14,cat__SaleType_New,0.048235333068848085,0.048235333068848085,positive
15,cat__KitchenQual_Ex,0.0430253308886926,0.0430253308886926,positive
16,cat__Neighborhood_Edwards,-0.04299745717024845,0.04299745717024845,negative
17,num__TotalBsmtSF,0.04124196819969489,0.04124196819969489,positive
18,num__OverallCond,0.04066591603970984,0.04066591603970984,positive
19,cat__MSZoning_C (all),-0.039918831585754815,0.039918831585754815,negative
20,cat__Condition1_Norm,0.03979220824703485,0.03979220824703485,positive
21,cat__GarageType_CarPort,-0.03939822920353291,0.03939822920353291,negative
22,cat__SaleCondition_Abnorml,-0.03802734049716277,0.03802734049716277,negative
23,cat__BldgType_Twnhs,-0.03261559319773922,0.03261559319773922,negative
24,cat__Condition1_Artery,-0.029845142974921864,0.029845142974921864,negative
25,cat__GarageQual_Fa,-0.02920059149426038,0.02920059149426038,negative
26,cat__KitchenQual_Fa,-0.02502992287671993,0.02502992287671993,negative
27,cat__Neighborhood_Mitchel,-0.019692124572901006,0.019692124572901006,negative
28,cat__LandSlope_Sev,-0.019547547772293734,0.019547547772293734,negative
29,cat__MSZoning_RM,-0.018089696213414386,0.018089696213414386,negative
30,cat__ExterCond_Gd,-0.014967277252168117,0.014967277252168117,negative
